flow_id,our_algorithm,our_memory_kb,our_are,auth_algorithm,auth_memory,auth_are,are_diff,our_packets
371,wavesketch-ideal,64,1,Naive-Sketch,24576,147.5,-146.5,425
371,persistcms,64,1,Naive-Sketch,24576,147.5,-146.5,425
371,omniwindow,64,1,Naive-Sketch,24576,147.5,-146.5,425
371,fourier,64,1,Naive-Sketch,24576,147.5,-146.5,425
116,fourier,64,1,Naive-Sketch,24576,142.5,-141.5,50
116,wavesketch-ideal,64,1,Naive-Sketch,24576,142.5,-141.5,50
116,persistcms,64,1,Naive-Sketch,24576,142.5,-141.5,50
116,omniwindow,64,1,Naive-Sketch,24576,142.5,-141.5,50
520,omniwindow,64,1,Naive-Sketch,24576,139.5,-138.5,1000
520,persistcms,64,1,Naive-Sketch,24576,139.5,-138.5,1000
520,fourier,64,1,Naive-Sketch,24576,139.5,-138.5,1000
520,wavesketch-ideal,64,1,Naive-Sketch,24576,139.5,-138.5,1000
291,fourier,64,1,Naive-Sketch,24576,116.667,-115.667,80
291,wavesketch-ideal,64,1,Naive-Sketch,24576,116.667,-115.667,80
291,persistcms,64,1,Naive-Sketch,24576,116.667,-115.667,80
291,omniwindow,64,1,Naive-Sketch,24576,116.667,-115.667,80
27,wavesketch-ideal,64,1,Naive-Sketch,24576,113.5,-112.5,79
27,persistcms,64,1,Naive-Sketch,24576,113.5,-112.5,79
27,omniwindow,64,1,Naive-Sketch,24576,113.5,-112.5,79
27,fourier,64,1,Naive-Sketch,24576,113.5,-112.5,79
